country,year,indicator_id,indicator_name,indicator_value,subnational,remarks,source,source_url
Malaysia,2019,NUM-00004,Percentage of Women in ICT Leadership Roles,79.38,No,Data pertains to board of directors of companies registered with the Companies Commission of Malaysia ,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2020,NUM-00004,Percentage of Women in ICT Leadership Roles,78.03,No,Data pertains to board of directors of companies registered with the Companies Commission of Malaysia ,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2021,NUM-00004,Percentage of Women in ICT Leadership Roles,76.95,No,Data pertains to board of directors of companies registered with the Companies Commission of Malaysia ,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Indonesia,2017,NUM-00004,Percentage of Women in ICT Leadership Roles,23,,,,
