country,exists
Brunei Darussalam,INSUFFICIENT DATA
Cambodia,INSUFFICIENT DATA
Indonesia,INSUFFICIENT DATA
Lao PDR,YES
Malaysia,INSUFFICIENT DATA
Myanmar,INSUFFICIENT DATA
Papua New Guinea,INSUFFICIENT DATA
Philippines,INSUFFICIENT DATA
Singapore,INSUFFICIENT DATA
Thailand,YES
Timor Leste,INSUFFICIENT DATA
Vietnam,INSUFFICIENT DATA
