country,year,indicator_id,indicator_name,indicator_value,subnational,remarks,source,source_url
Malaysia,2021,NUM-00005,Gender Pay Gap in ICT Sector,1.98,No,Data is specific to technicians and associate professionals,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2022,NUM-00005,Gender Pay Gap in ICT Sector,1.87,No,Data is specific to technicians and associate professionals,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2023,NUM-00005,Gender Pay Gap in ICT Sector,2.85,No,Data is specific to technicians and associate professionals,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Singapore,2018,NUM-00005,Gender Pay Gap in ICT Sector,16.3,No,Value is already adjusted,Singapore Ministry on Manpower,https://stats.mom.gov.sg/iMAS_Infographics/mrsd-Infographic-Update-on-Singapores-Adjusted-Gender-Pay-Gap.pdf
Singapore,2023,NUM-00005,Gender Pay Gap in ICT Sector,14.3,No,Value is already adjusted,Singapore Ministry on Manpower,https://stats.mom.gov.sg/iMAS_Infographics/mrsd-Infographic-Update-on-Singapores-Adjusted-Gender-Pay-Gap.pdf
Vietnam,2023,NUM-00005,Gender Pay Gap in ICT Sector,28,,,,
Indonesia,2023,NUM-00005,Gender Pay Gap in ICT Sector,18,,,,
