country,exists
Brunei Darussalam,YES
Cambodia,YES
Indonesia,INSUFFICIENT DATA
Lao PDR,YES
Malaysia,YES
Myanmar,INSUFFICIENT DATA
Papua New Guinea,INSUFFICIENT DATA
Philippines,INSUFFICIENT DATA
Singapore,YES
Thailand,YES
Timor Leste,INSUFFICIENT DATA
Vietnam,INSUFFICIENT DATA
